Date,ESGU,ESGD,SUSA,ICLN,QCLN,SPY,QQQ,VTI,AGG,VWO
2023-11-03,92.645263671875,64.26848602294922,87.97279357910156,13.100995063781738,35.48097229003906,421.3395690917969,362.3205871582031,208.44146728515625,85.93450164794922,36.420372009277344
2023-11-06,92.77156066894531,63.991668701171875,87.943603515625,12.918903350830078,34.425228118896484,422.308837890625,363.7985534667969,208.52857971191406,85.50565338134766,36.53099060058594
2023-11-07,93.1213150024414,63.6041145324707,88.23542022705078,12.842232704162598,34.57323455810547,423.51080322265625,367.2375183105469,209.14785766601562,85.96187591552734,36.54020309448242
2023-11-08,93.1893081665039,63.52107238769531,88.37158966064453,12.650557518005371,33.78388977050781,423.8209533691406,367.47393798828125,209.1188201904297,86.25384521484375,36.3742790222168
2023-11-09,92.47038269042969,63.56721496582031,87.64205169677734,12.525968551635742,32.550537109375,420.5157165527344,364.64599609375,207.33836364746094,85.53302764892578,36.05165100097656
2023-11-10,93.92768096923828,63.88094711303711,89.08167266845703,12.468466758728027,32.540672302246094,427.0777587890625,372.8440246582031,210.4251708984375,85.73377227783203,36.300540924072266
2023-11-13,93.7819595336914,64.01012420654297,88.9065933227539,12.468466758728027,32.76760482788086,426.6706848144531,371.6812438964844,210.2993621826172,85.72462463378906,36.36507034301758
2023-11-14,95.75415802001953,65.652587890625,90.98821258544922,13.407674789428711,35.32310485839844,434.9483947753906,379.6822814941406,214.9634246826172,86.80131530761719,37.21312713623047
2023-11-15,95.8804702758789,65.6064453125,91.28975677490234,13.474761009216309,36.063114166259766,435.8692321777344,379.9680480957031,215.49563598632812,86.26297760009766,37.471229553222656
2023-11-16,96.09420776367188,65.49571990966797,91.31893157958984,13.32142162322998,35.22443771362305,436.4023132324219,380.2933044433594,215.35052490234375,86.73745727539062,37.08407211303711
2023-11-17,96.23021697998047,66.372314453125,91.40647888183594,13.407674789428711,35.5500373840332,436.94512939453125,380.3819274902344,215.89236450195312,86.91082763671875,37.23154830932617
2023-11-20,96.9588623046875,66.61223602294922,92.04847717285156,13.656852722167969,36.22098922729492,440.30859375,385.0129699707031,217.5180206298828,87.0477066040039,37.62793731689453
2023-11-21,96.78399658203125,66.34463500976562,91.99011993408203,13.388507843017578,35.3823127746582,439.3489990234375,382.7762756347656,216.92774963378906,87.1389389038086,37.40670394897461
2023-11-22,97.19202423095703,66.49227905273438,92.40838623046875,13.340588569641113,35.40203857421875,441.04522705078125,384.3429870605469,217.856689453125,87.22105407714844,37.305301666259766
2023-11-24,97.26004028320312,67.06436920166016,92.51538848876953,13.302254676818848,35.51057815551758,441.31658935546875,383.80108642578125,218.0889434814453,86.81958770751953,37.42513656616211
2023-11-27,97.09487915039062,66.8429183959961,92.33056640625,13.196832656860352,35.046844482421875,440.52178955078125,383.4660339355469,217.80831909179688,87.31230926513672,37.24999237060547
2023-11-28,97.21145629882812,66.89827728271484,92.45702362060547,13.369339942932129,35.806583404541016,440.9579772949219,384.4710998535156,217.94381713867188,87.69551849365234,37.55418395996094
2023-11-29,97.2406005859375,67.05513763427734,92.70021057128906,13.51309585571289,36.270320892333984,440.6478271484375,384.0965881347656,218.0405731201172,88.12439727783203,37.3421745300293
2023-11-30,97.62922668457031,67.05513763427734,93.24491119384766,13.61851692199707,36.112449645996094,442.3828430175781,383.13104248046875,218.94046020507812,87.83241271972656,37.452789306640625
2023-12-01,98.30928802490234,67.7471923828125,93.99391174316406,13.982699394226074,37.5135383605957,444.9999694824219,384.2247619628906,220.7886962890625,88.60470581054688,37.6094970703125
2023-12-04,97.76522827148438,67.14741516113281,93.66317749023438,13.934781074523926,37.31619644165039,442.6639404296875,380.65777587890625,219.99522399902344,88.2661361694336,37.27764129638672
